caldt,vwretd,vwretx,ewretd,ewretx,totval,spindx,sprtrn
19270319,0.000369,0.000369,-0.000585,-0.000585,17654446.20,,
19270321,0.002960,0.002862,0.003303,0.003130,17768725.80,,
19270322,-0.010411,-0.010411,-0.010291,-0.010291,17583741.60,,
19270323,0.003246,0.003246,0.004545,0.004545,17640816.90,,
19270324,0.006173,0.006173,0.006398,0.006398,17749706.10,,
19270325,0.000725,0.000466,0.001250,0.000820,17757973.30,,
19270326,0.002515,0.002515,0.000617,0.000617,17802642.10,,
19270328,0.005940,0.005890,0.003585,0.003451,17907503.00,,
19270329,-0.001966,-0.001966,-0.003537,-0.003537,17872292.20,,
19270330,-0.004723,-0.004723,-0.004604,-0.004604,17787888.30,,
19270331,0.003726,0.002978,0.003344,0.002402,17883291.60,,
19270401,0.000410,0.000240,-0.001565,-0.001906,17887591.90,,
19270402,-0.001461,-0.001461,0.000801,0.000801,17862638.10,,
19270404,0.006415,0.006363,0.006534,0.006358,17976306.60,,
19270405,0.004140,0.003959,0.001124,0.001000,18047466.60,,
19270406,0.000276,0.000276,0.000907,0.000907,18052452.80,,
19270407,0.001557,0.001557,0.000898,0.000898,18080563.90,,
19270408,0.004243,0.004068,0.002575,0.002307,18154118.50,,
19270409,0.000407,0.000407,0.000260,0.000260,18149173.00,,
19270411,0.002567,0.002484,0.003019,0.002747,18210522.20,,
19270412,-0.003139,-0.003139,-0.003252,-0.003252,18140973.80,,
19270413,0.003286,0.003209,0.002459,0.002353,18211348.20,,
19270414,0.001384,0.000924,0.003172,0.002536,18216011.00,,
19270416,0.002369,0.002369,0.004151,0.004151,18271320.40,,
19270418,-0.000557,-0.000557,0.000028,0.000028,18261150.00,,
19270419,0.001076,0.001076,0.001110,0.001110,18280804.80,,
19270420,0.003318,0.003035,0.001177,0.000841,18336283.10,,
19270421,0.005326,0.005226,0.002295,0.002139,18420055.10,,
19270422,0.002767,0.002745,0.001009,0.000841,18482561.90,,
